132423-N-184745	жаропонижать средство
5572-N-112321	судебно-медицинский экспертиза
5572-N-122338	судебно-медицинский экспертный комиссия
5572-N-119248	судебно-медицинский экспертный служба
5572-N-116794	судебно-медицинский анализ
5572-N-116876	судебно-медицинский вскрытие
5572-N-120046	судебно-медицинский исследование
5572-N-120022	судебно-медицинский освидетельствование
137435-N-104191	иммунодефицить
137435-N-118477	иммунопатология
137435-N-201290	болезнь иммунный система
127458-N-205610	ошелудиветь
127458-N-205608	шелудиветь
127458-N-205609	зашелудиветь
120996-N-719388	кровяной тромб
120996-N-163266	тромб
142805-N-669770	внутривать вливание
142805-N-669771	внутривать применение
142805-N-713773	вливание в вена
142805-N-669768	внутривать инъекция
142805-N-669772	внутривать введение
5882-N-202399	инвазиоть болезнь
5882-N-116847	паразитоз
5882-N-178768	инвазие
5882-N-108463	паразитарный болезнь
5882-N-202401	заражение паразит
5882-N-116103	паразитарный заболевание
5882-N-108464	паразитный болезнь
3432-N-108650	перевязочный средство
3432-N-108651	перевязочный материал
10054-N-118232	детский церебральный паралич
10054-N-188712	церебральный паралич
10054-N-120205	дцп
111010-N-106865	молоко
111010-N-737776	молочко
111010-N-205773	латекс
111010-N-142294	млечный сок
145082-N-719549	консервативный метод
145082-N-689872	консервативный лечение
145082-N-719551	консервативный терапия
145082-N-719550	консервативный метод лечение
145082-N-689873	нехирургический лечение
1069-N-106284	медицинский промышленность
4473-N-106307	медицинский полис
4473-N-148056	полис
4473-N-735125	полис медицинский страхование
5161-N-108074	онкология
112698-N-146180	парш
112698-N-205605	паршивость
112698-N-205611	шелудивость
897-N-179838	неблагоприятный условие труд
897-N-123572	профессиональный вредность
897-N-212321	вредный труд
897-N-123571	производственный вредность
897-N-173314	вредный производственный фактор
897-N-102062	вредный условие труд
897-N-215852	вредный условие
897-N-212320	вредный работа
897-N-159708	вредность
897-N-732482	вредность на производство
117171-N-712896	выписка рецепт
117171-N-150080	прописываний
117171-N-754204	прописываний лекарство
117171-N-712897	выписка лекарство
126862-N-714296	больничный каталка
126862-N-714297	каталка для пациент
126862-N-714299	медицинский каталка
126862-N-173496	каталка
152598-N-742964	эпидемиологический порог
152598-N-742962	эпидемический порог
152598-N-742963	эпидпорога
141061-N-212161	частный медицина
145573-N-699848	гастроэнтерять
111441-N-157800	шпагат
10025-N-121524	тахикардия
137654-N-202150	томограмм
113587-N-118989	патологический анатомия
1064-N-113991	хирургия
7105-N-112900	токсикомание
137569-N-201731	сердечный приступ
152555-N-742733	рефлексотерапия
4465-N-111137	санитарный статистика
4465-N-713107	показатель здоровье население
4465-N-179892	медстатистика
4465-N-121774	медицинский учет
4465-N-106290	медицинский статистика
4465-N-106272	медико-социальный показатель
9881-N-194941	бактерицидность
9881-N-122032	бактерицидный активность
9881-N-122031	бактерицидный действие
9881-N-122030	бактерицидный обеззараживаний
146880-N-709359	банк лечебный
146880-N-709357	медицинский банк
146880-N-709360	лечебный банк
146880-N-709358	банк медицинский
146880-N-133270	банк
9856-N-179028	экг
9856-N-139796	кардиограмма
9856-N-121687	электрокардиограмма
146866-N-709325	черный очко
146866-N-709326	темный очко
146866-N-709327	очко от солнце
146866-N-709323	солнцезащитный очко
146866-N-709324	солнечный очко
113309-N-140490	компресс
8942-N-117198	хоспис
109439-N-140858	краснуха
140373-N-741510	фенамин
140373-N-209635	амфетамин
134951-N-687880	радиология
134951-N-192326	радиационный медицина
7588-N-112019	срочный медицинский помощь
7588-N-210406	скорый неотложный помощь
7588-N-107530	неотложный медицинский помощь
7588-N-216384	скорый медицинский помощь
7588-N-120435	скорый помощь
5139-N-110886	родовспоможение
5139-N-122189	акушерский дело
5139-N-100346	акушерство
5139-N-116531	акушерский помощь
5139-N-707983	вспоможение род
5139-N-110883	родовспомогательный служба
108109-N-133708	блоха
136754-N-178866	закупорка сосуд
136754-N-197834	закупорка кровеносный сосуд
114990-N-112120	стерилизация
114990-N-148077	половой стерилизация
10206-N-709290	кардиологический учреждение
10206-N-678472	кардиоцентр
10206-N-709288	кардиологический отделение
10206-N-709287	отделение кардиология
10206-N-709289	кардиоотделений
10206-N-124027	кардиологический центр
10206-N-124026	кардиологический клиника
10206-N-709284	кардиологический больница
10206-N-709285	кардиобольница
10206-N-709286	кардиоклиник
1050-N-111127	санитарий
1050-N-102422	гигиена
109728-N-118609	сепсис
109728-N-138379	заражение кровь
7956-N-109246	порок сердце
2628-N-106328	медицинский страхование
2628-N-125196	медицинский страховка
2628-N-106329	медицинский страхование гражданин
2628-N-115663	медстрахование
2628-N-701812	медстраховка
2628-N-112180	страхование здоровье
2628-N-176009	медстр
2919-N-113595	фармацевтический промышленность
2919-N-116872	химико-фармацевтический промышленность
2919-N-689012	фармпромышленность
2919-N-113603	фарминдустрия
124977-N-206149	цирковой акробатика
124977-N-169506	акробатика
9886-N-110087	протезно-ортопедический помощь
131268-N-125373	наркологический заболевание
131268-N-182532	наркологический расстройство
131268-N-684663	наркологический зависимость
136421-N-196857	дефибриллятор
127029-N-173912	горный смола
127029-N-173911	мумие
127029-N-173913	горный масло
9528-N-104889	клиника
9528-N-206169	клиника заболевание
9528-N-120042	клинический симптом
9528-N-698855	клинический синдром
9528-N-203044	синдром
9528-N-689482	симптоматика
9528-N-167432	симптом болезнь
9528-N-698856	синдром болезнь
9528-N-152787	симптом
4852-N-210047	первый медицинский помощь
4852-N-103245	доврачебный медицинский помощь
4852-N-724955	доврачебный осмотр
4852-N-103246	доврачебный помощь
4852-N-122273	доврачебный самопомощь
116984-N-729852	дергуть боль
116984-N-729851	стрелять боль
5330-N-113696	физиотерапия
129741-N-179435	задымленность
9635-N-119645	переливание кровь
9635-N-121689	трансфузионный терапия
9635-N-121753	трансфузия
9635-N-146573	переливание
117985-N-725984	маниакальный состояние
117985-N-141890	мания
136615-N-188050	морской болезнь
5177-N-692024	интенсивный терапия
5177-N-750100	реанимация больной
5177-N-173466	реанимирование
5177-N-750098	реанимация пострадавший
5177-N-750097	реанимация пациент
5177-N-142041	медицинский реанимация
5177-N-110638	реанимация
5177-N-750096	курс интенсивный терапия
7762-N-113664	фельдшер
7762-N-156518	фельдшерица
141301-N-213272	безрецептурный продажа
141301-N-683925	отпуск без рецепт
141301-N-683927	продажа без рецепт
141301-N-213275	без рецепт
141301-N-213273	безрецептурный отпуск
3700-N-103136	дизентерия
6044-N-110643	ревматизм
6044-N-692031	ревматологический заболевание
9533-N-211916	заболевание эндокрить система
9533-N-120050	эндокрить заболевание
9533-N-182533	болезнь эндокрить система
9533-N-120052	эндокринный патология
125104-N-183645	бодибилдинг
125104-N-214392	атлетический гимнастика
125104-N-169717	атлетизм
125104-N-169715	культуризм
7761-N-117547	средний медперсонал
7761-N-111998	средний медицинский персонал
9014-N-143182	нарыв
9014-N-136121	гнойник
9014-N-117512	гнойный воспаление
9014-N-188170	гнойный инфекция
9014-N-119898	нагноение
9014-N-117523	гнойно-септический заболевание
151962-N-739999	биатлоть комплекс
116900-N-133579	бессонница
131266-N-713108	заболевание мочеполовый система
131266-N-182525	болезнь мочеполовый система
9398-N-119651	педиатр
9398-N-122835	детский врач
142949-N-670335	сердечный средство
142949-N-670333	кардиологический препарат
142949-N-670336	кардиологический средство
142949-N-670334	сердечный препарат
113640-N-158055	электрошок
113640-N-197684	электрошоковый терапия
140261-N-209360	клаустрофобие
145529-N-699408	недостаточность орган
145529-N-143464	недостаточность
145529-N-699407	функциональный недостаточность
145529-N-729788	недостаточный функция
145529-N-699406	функциональный недостаточность орган
135690-N-194521	экстракт
135690-N-760011	натуральный экстракт
135690-N-160376	вытяжка
135690-N-760010	природный экстракт
142792-N-669657	лечебный корсет
142792-N-669659	медицинский корсет
142792-N-122970	корсет
142792-N-669658	ортопедический корсет
146433-N-707330	онкогемоталогия
141952-N-714219	оборудование для больница
141952-N-215174	больничный оборудование
117522-N-742884	кровеостанавливающий жечь
117522-N-723507	кровоостанавливающий жечь
117522-N-137545	жечь
117522-N-210242	медицинский жгут
616-N-115737	недомогание
616-N-156837	хворь
616-N-106281	медицинский патология
616-N-103680	заболевание человек
616-N-107470	недуг
616-N-174280	нездоровье
616-N-737136	болячка
616-N-103678	заболевание
616-N-118922	общесоматический заболевание
616-N-120458	патология
616-N-156832	хвороб
616-N-101075	болезнь
616-N-156836	хворость
8789-N-116549	судебно-медицинский эксперт
8789-N-167736	судмедэксперт
144595-N-685292	косметический хирургия
116866-N-133776	болезнь растение
143504-N-111964	спортивный учреждение
143504-N-123137	спортивный заведение
143504-N-122182	физкультурно спортивный учреждение
9697-N-187691	возбудитель туберкулез
9697-N-120971	туберкулезный палочка
9697-N-187693	палочка кыхать
9697-N-187692	микобактерия туберкулез
126756-N-669780	воспаление мочевой пузырь
126756-N-173227	цистить
143344-N-673697	целлюлит
126667-N-173097	мант
126667-N-756488	проба мант
126667-N-182516	реакция мант
151667-N-724089	сестринский уход
151667-N-737779	уход за больной
133167-N-187071	лабораторный анализ
133167-N-187072	медицинский анализ
133167-N-187070	клинический анализ
4046-N-105856	лечебно -профилактический помощь
4046-N-118904	профилактика инфекция
4046-N-179841	профилактический осмотр
4046-N-121829	профилактический лечение
4046-N-120775	лечебть -профилактический услуга
4046-N-753406	профилактика заболевание
4046-N-753404	профилактика болезнь
4046-N-106285	медицинский профилактика
4046-N-124062	профилактический дело
4046-N-120923	профилактический мероприятие
4046-N-120773	лечебть -профилактический обслуживание
4046-N-120774	лечебть -профилактический деятельность
4046-N-105857	лечебть -профилактический работа
4046-N-117001	лечебть -профилактический мероприятие
4046-N-110195	профилактический медицина
4046-N-120771	лечебно-оздоровительный работа
4046-N-120770	лечебно-оздоровительный мероприятие
7616-N-109123	полевой изысканий
7616-N-177615	рекогносцировка
4853-N-195141	безаварийность
4853-N-100826	безаварийный эксплуатация
151654-N-737714	процедура обертываний
151654-N-198245	обертываний
151654-N-752039	обертываний тело
151654-N-737715	лечебный обертываний
136308-N-196434	гастроэнтеролог
4521-N-101283	вакцинопрофилактика
4521-N-101280	вакцинация
4521-N-179824	ревакцинация
4521-N-109737	прививка
4521-N-110196	профилактический прививка
133820-N-188639	перинатология
133820-N-684349	перинатальный медицина
110763-N-121720	скальпель
113028-N-143500	нейрохирургия
109191-N-119733	дистрофия
141529-N-213949	интерферон
126844-N-173465	реаниматология
134528-N-191015	сальмонелл
142784-N-669622	борьба с пьянство
142784-N-758893	пьянство бой
142784-N-669623	борьба с алкоголизм
123426-N-713790	фигура ласточка
123426-N-141314	ласточка
10079-N-172963	пластырь
10079-N-121769	медицинский пластырь
10079-N-122585	лейкопластырь
3373-N-123909	алкоголизация
3373-N-201197	алкогольный зависимость
3373-N-100380	алкоголизм
4780-N-720006	отравление ядовитый вещество
4780-N-702249	токсикация
4780-N-104369	интоксикация
4780-N-108315	отравление
136990-N-199356	медицинский термометр
136990-N-136329	градусник
122264-N-689970	колик
122264-N-140321	колика
4542-N-110244	психолог
110996-N-116488	солнце
110996-N-738767	солнце на турник
111070-N-144998	ортопед
152323-N-741119	массажный кабинет
152323-N-741120	кабинет массаж
110649-N-671143	больной астма
110649-N-133124	астматик
152931-N-214304	качание
152931-N-756813	качание мышца
110179-N-671145	гипертонический больной
110179-N-671144	больной гипертония
110179-N-135989	гипертоник
2046-N-762253	заражение вирус
2046-N-122047	инфекционный вирусный болезнь
2046-N-691499	инфекционный вирусный заболевание
2046-N-134544	вирусный заболевание
2046-N-195862	вирусный инфекция
2046-N-101551	вирусный болезнь
109636-N-149451	приступ
109636-N-149452	приступ болезнь
109636-N-687695	пароксизм
7782-N-684524	искусственный инсеминация
7782-N-710870	пробирочный оплодотворение
7782-N-684522	экстракорпоральный оплодотворение
7782-N-116328	трансплантация эмбрион
7782-N-684523	перенос эмбрион в полость матка
7782-N-104199	имплантация эмбрион
7782-N-115752	зачатие в пробирка
7782-N-104453	искусственный оплодотворение
7782-N-710871	оплодотворение в пробирка
4740-N-121789	диабет
4740-N-211899	сахарный болезнь
4740-N-111186	сахарный диабет
146536-N-707952	шинный повязка
146536-N-707945	наложение шина
112452-N-196504	гиповитаминоз
112452-N-195669	витаминный недостаточность
112452-N-132748	авитаминоз
46-N-106279	медицинский наука
46-N-685204	биомедицин
46-N-685207	биомедицинский наука
46-N-106262	медико-биологический наука
46-N-739269	теоретический медицина
146136-N-113815	фитосанитарный мероприятие
146136-N-704840	санитарный и фитосанитарный мера
146136-N-704841	фитосанитарный мера
9415-N-726677	воспаление почка
9415-N-121633	нефрит
7763-N-106810	младший медицинский персонал
7763-N-216562	младший медицинский работник
9725-N-124071	медицинский манипуляция
9725-N-165794	процедура
9725-N-122219	амбулаторный процедура
9725-N-121766	лечебный манипуляция
9725-N-121799	лечебный процедура
9725-N-120780	медицинский процедура
136343-N-196514	главный врач
136343-N-196515	главврач
111475-N-673698	обменный нарушение
111475-N-673699	нарушение обмен
111475-N-143175	нарушение обмен вещество
131262-N-206414	запускать болезнь
131262-N-159830	запущенность
131262-N-730483	запускать заболевание
131262-N-182513	запущенный форма заболевание
4797-N-742331	медицинский шприц
4797-N-114394	шприц
143375-N-123184	фармаколог
9402-N-119695	астма
9402-N-122415	астматический состояние
1623-N-113717	физкультура
1623-N-119961	физвоспитаний
1623-N-113713	физический воспитание
1623-N-123407	физкультурный работа
1623-N-113700	физический культура
9608-N-182521	полный потеря зрение
9608-N-119954	слепота
6362-N-100389	аллерген
112793-N-124426	аутогать тренировка
112793-N-124427	аутотренингать
151334-N-116183	инсулин
151334-N-744019	сахароснижать препарат
151334-N-735837	инсулиновый препарат
110356-N-143431	невралгия
127152-N-203289	непроходимость
127152-N-174312	непроходимость кишечник
127152-N-750318	кишечный непроходимость
2982-N-106330	медицинский учебный заведение
9655-N-120679	бронхиальный астма
10145-N-122691	уролог
136955-N-199215	борьба с курение
9855-N-121690	электрокардиографический исследование
9855-N-121654	электрокадиография
109284-N-155276	трахеить
137007-N-714624	врач общий практика
137007-N-199454	домашний врач
137007-N-199460	семейный доктор
137007-N-173310	семейный врач
137007-N-199459	домашний доктор
147993-N-715830	лекарственный сбор
147993-N-123422	сбор
147993-N-715831	сбор лекарственный растение
10106-N-179044	знахарка
10106-N-122999	народный целитель
10106-N-199660	травник
10106-N-179043	знахарь
4920-N-100415	амбулаторно поликлинический учреждение
4920-N-120218	амбулаторно поликлинический объединение
4920-N-122454	амбулаторный учреждение
7513-N-104193	иммунология
135768-N-726166	навязчивый страх
135768-N-194693	фобие
10209-N-677334	гинекологический заболевание
10209-N-122313	гинекологический патология
154985-N-204541	субстанция
154985-N-213077	фармацевтический субстанция
154985-N-761736	химический субстанция
9698-N-121126	ингаляционный воздействие
9698-N-121132	ингаляция
149780-N-182536	радиолог
110238-N-720071	простревать поясница
110238-N-150274	прострел
126124-N-171850	кастрация
126124-N-196364	выхолащивание
126124-N-171853	оскоплений
4953-N-106289	медицинский справка
4953-N-113665	фельдшерский справка
4953-N-707498	медсправка
4953-N-121806	врачебный справка
139084-N-119664	выкидыш
4845-N-132880	алкоголичка
4845-N-758342	забулдыга
4845-N-685189	пропойца
4845-N-169280	алкаш
4845-N-194769	алконавть
4845-N-191153	пьянчужка
4845-N-176854	пьянчуга
4845-N-715079	больной алкоголизм
4845-N-110309	пьяница
4845-N-191152	алкашка
4845-N-715163	лицо с алкогольный зависимость
4845-N-100381	алкоголик
5263-N-683710	детский медицина
5263-N-108596	педиатрия
9905-N-155223	траволечений
9905-N-122696	фитотерапия
5742-N-106005	логопед
123981-N-158217	язва
123981-N-707477	язвочка
1037-N-106295	медицинский часть
1037-N-124067	центр медицина
1037-N-115718	учреждение медицинский помощь
1037-N-123338	санитарный часть
1037-N-200039	медчасть
1037-N-124074	медцентр
1037-N-119631	медучреждение
1037-N-201996	медслужба
1037-N-106341	медсанчасть
1037-N-116398	медсанслужба
1037-N-106332	медицинский учреждение
1037-N-106323	медицинский объединение
1037-N-106314	медицинский центр
1037-N-117094	медицинский орган
1037-N-106288	медицинский служба
1037-N-106280	медицинский организация
1037-N-106269	санитарный учреждение
1037-N-106268	санитарный часть
1037-N-106267	санитарный служба
1037-N-122788	больнично -поликлинический комплекс
1037-N-687541	санчасть
142000-N-215404	лечение минеральный вода
142000-N-215403	бальнеотерапия
142000-N-118426	бальнеолечение
123979-N-167621	гипотония
129926-N-123171	трансплантология
110633-N-709493	стригущий лишать
110633-N-141582	лишать
116741-N-748552	распространение зараза
116741-N-138378	заражение
152599-N-742975	физиопроцедура
152599-N-122437	физиотерапевтический процедура
132280-N-184744	противовоспалительный средство
132280-N-184743	противовоспалительный препарат
132280-N-688505	противовоспалительный лекарственный средство
132280-N-688506	противовоспалительный лекарство
8036-N-191211	вирусоносительница
8036-N-101555	вирусоноситель
8036-N-699806	носитель вирус
4439-N-176492	противопоказание
4439-N-106326	медицинский противопоказание
4439-N-176493	противопоказанность
5417-N-119942	пациентка
5417-N-108579	пациент
131787-N-183677	инфантилизм
131787-N-183678	инфантильность
113571-N-134695	водолечение
113571-N-167906	гидротерапия
126852-N-173481	контактный линза
126852-N-173480	интраокулярный линза
150722-N-733260	тонометр
126891-N-106302	медицинский инструмент
126891-N-106303	медицинский инструментарий
126891-N-124065	мединструменть
126891-N-187124	инструмент медицинский
143648-N-677159	иммуноглобулин
113194-N-698323	поливитаминный препарат
113194-N-698324	мультивитамин
113194-N-698326	мультивитаминный препарат
113194-N-120227	поливитамина
114863-N-132794	аденоид
4391-N-165384	раковый образование
4391-N-115388	раковый опухоль
4391-N-720090	недоброкачественный образование
4391-N-720089	недоброкачествать опухоль
4391-N-115278	злокачественный образование
4391-N-104030	злокачествать новообразование
4391-N-104029	злокачествать опухоль
4391-N-690810	раковый новообразование
136064-N-195308	рвота
136064-N-195311	блевот
136064-N-722161	сташнивать
136064-N-195309	блевать
136064-N-195310	блевание
136064-N-726090	рвотный акт
113149-N-136204	гомеопать
2065-N-110146	противоэпидемический работа
2065-N-110147	противоэпидемический мероприятие
2065-N-114745	эпидемиологический деятельность
2065-N-110150	противоэпидемический режим
109345-N-142221	микстура
5961-N-100436	анестезиология
5961-N-118735	анестетика
135700-N-194545	эликсир
145230-N-165072	онкологический центр
145230-N-165073	онкоцентр
145230-N-165071	онкологический учреждение
145295-N-691506	заболевание дыхательный путь
145295-N-691505	болезнь дыхательный путь
135848-N-741562	деформируть артроз
135848-N-741561	остеоартроз
135848-N-194856	артроз
10192-N-120977	простатит
10192-N-196586	воспаление предстательный железа
10192-N-688401	воспаление простат
144943-N-688627	воспаление вена
144943-N-688611	флебивать
10212-N-124070	медицинский бальзам
10212-N-194957	бальзам
143873-N-711693	стадия развитие болезнь
143873-N-678983	развитие болезнь
143873-N-679047	стадия болезнь
136610-N-197242	диуретический препарат
136610-N-197243	диуретический средство
136610-N-197238	мочегонный средство
136610-N-197239	мочегонный препарат
136610-N-216707	мочегонный чай
136610-N-197240	диуретик
1044-N-106312	медицинский сотрудник
1044-N-115008	медицинский специалист
1044-N-191401	медичка
1044-N-115500	медперсонал
1044-N-106339	медработник
1044-N-110325	работник здравоохранение
1044-N-106297	медицинский кадр
1044-N-121773	медицинский специальность
1044-N-106260	медик
1044-N-116523	работник лечебный учреждение
1044-N-106311	медицинский работник
1044-N-106306	медицинский персонал
131269-N-117660	лаборант
120869-N-742114	сумасшедший человек
120869-N-737361	безумец
120869-N-176571	псих
140400-N-209688	уход за неизлечимый больной
140400-N-209689	уход за умирать
140400-N-209690	лечение обреченный больной
128655-N-719465	физический разминка
128655-N-177033	разминка
110163-N-680441	фармацевтический форма
110163-N-118140	лекарственный форма
110163-N-122586	лекформа
111721-N-147011	пинцет
113639-N-158051	электротерапия
113639-N-158048	электролечений
113639-N-197640	лечение электричество
136665-N-204441	проба на допинг
136665-N-199802	антидопинговый контроль
136665-N-199803	борьба с допинг
136665-N-208568	запрет допинг
136665-N-199804	запрещение допинг
136665-N-197378	контроль на допинг
136665-N-208566	проверка на допинг
125387-N-744516	бородавка на кожа
125387-N-170220	бородавка
5264-N-108355	офтальмология
3338-N-104883	клещевой энцефалит
3338-N-168313	таежный энцефалит
110367-N-196872	диарея
110367-N-736569	жидкий стул
110367-N-148244	понос
110367-N-722697	расстройство стул
7392-N-113141	тромбофлебит
124978-N-169508	аллерголог
113059-N-149892	прокаженный
113059-N-671695	больной проказа
113059-N-149893	прокажать
142331-N-669652	фитнесс
142331-N-216442	фитнес
142331-N-674099	занятие фитнес
117396-N-748989	болезненный бред
117396-N-133889	бред
112670-N-134394	ветряной оспа
112670-N-168507	ветрянка
1070-N-100444	антибиотик
3534-N-122224	неинфекциоть болезнь
3534-N-107500	неинфекциоть заболевание
8491-N-115415	онколочь
114938-N-153418	снохождений
114938-N-141726	лунатизй
114938-N-153641	сомнамбулизм
9683-N-120975	синусить
9029-N-117566	физиотерапевть
8174-N-165215	фармфабрика
8174-N-700827	химфармкомбинать
8174-N-167673	фармацевтический завод
8174-N-700823	фармзавод
8174-N-113600	фармацевтический предприятие
8174-N-700337	фармпредприятий
8174-N-687616	химфармзавод
124613-N-189827	мышечный некроз
124613-N-187794	отмирание
124613-N-168847	омертвение
124613-N-189826	некроз ткань
124613-N-189825	некроз
110150-N-142209	мигрень
4934-N-106338	медпункт
4934-N-106310	медицинский пункт
4934-N-122542	здравпункть
1046-N-113987	хирург
133318-N-187499	одышка
113532-N-704540	рентгеновский изображение
113532-N-151740	рентгенограмма
113532-N-197659	рентгеновский снимок
132805-N-199196	слабительный средство
132805-N-186077	слабительное
132805-N-186078	лаксатив
140909-N-211764	атипичный пневмония
140909-N-155186	торс
9554-N-122617	оториноларингология
9554-N-120277	отоларингология
4779-N-104076	зубопротезный помощь
4779-N-122308	зуботехнический работа
4779-N-215883	вставлений зуб
4779-N-104074	зубной протезирование
4779-N-215882	вставка зуб
4779-N-104075	зубопротезирований
4779-N-705429	протезирование зуб
114870-N-150283	простукиваний
114870-N-196330	выстукиваний
114870-N-744711	перкуссия
4392-N-108141	опухоль
4392-N-188632	новообразование
2977-N-106320	медицинский оборудование
2977-N-116984	лечебть -диагностический аппаратура
2977-N-105864	лечебный оборудование
2977-N-124059	медаппаратура
2977-N-119472	медицинский аппаратура
2977-N-106292	медицинский техника
2977-N-106299	медицинский аппарат
2977-N-106309	медицинский прибор
2977-N-192353	электромедоборудований
2977-N-123244	электромедицинский аппаратура
2977-N-106343	медтехник
2977-N-116266	медоборудование
2977-N-121849	медицинский электроприбор
2977-N-106317	медицинский имущество
9132-N-218078	нейролептический препарат
9132-N-205818	нейролептик
9132-N-218081	бензодиазепин
9132-N-117880	транквилизатор
142357-N-136761	депрессия
142357-N-181600	депрессивность
142357-N-216601	депрессивный расстройство
142357-N-181598	депрессивный состояние
142357-N-719530	нервный депрессия
1056-N-111920	спид
1056-N-104190	иммунодефицить человек
1056-N-712038	вич спид
1056-N-101566	вич-инфекция
1056-N-117578	синдром приобретать иммунодефицить
8754-N-116393	патологоанатом
8754-N-191926	прозекторш
8754-N-149849	прозектор
138380-N-204442	запрещать препарат
144594-N-685290	косметический операция
115056-N-143263	настойка
110237-N-720070	чувство боль
110237-N-122787	физический боль
110237-N-729477	болезненный ощущение
110237-N-133796	боль
110237-N-720073	ощущение боль
110237-N-720069	болевой ощущение
110237-N-123143	физический страдание
112048-N-139216	иммунолог
5659-N-165214	фармпроизводство
5659-N-113602	фармация
5659-N-110001	производство лекарство
5659-N-715111	аптечный работа
5659-N-115290	производство медикаменть
5659-N-102144	выпуск лекарство
5659-N-217822	выпуск медикаменть
5659-N-122464	галенофармацевтический производство
5659-N-104110	изготовление лекарство
5659-N-113591	фармацевтика
5659-N-113592	фармацевтический деятельность
9489-N-119940	панкреатит
9489-N-679757	воспаление поджелудочный железа
142320-N-216411	шейпинг
1068-N-120928	медицинский товар
1068-N-106283	медицинский продукция
1068-N-715109	товар медицинский назначение
1068-N-106316	медицинский изделие
1068-N-121178	лечебный продукция
1068-N-104127	изделие медицинский назначение
1068-N-106327	медицинский средство
1068-N-109928	продукция медицинский назначение
1068-N-124073	медтовар
110141-N-157186	чага
110141-N-181465	березовый гриб
8093-N-186254	болезнь система кровь
8093-N-186637	болезнь кровеносный система
8093-N-211913	заболевание кровь
8093-N-182522	болезнь кроветворный орган
8093-N-101077	болезнь кровь
8804-N-116629	простуда
8804-N-116327	простудный заболевание
9023-N-117556	малярия
9023-N-118905	малярийный инфекция
126892-N-118863	хирургический инструментарий
126892-N-215171	хирургический инструмент
116796-N-155661	угар
134833-N-205185	преподавательница физкультура
134833-N-192108	физрук
134833-N-181870	физкультурница
134833-N-116856	физкультурник
134833-N-192107	учитель физкультура
134833-N-202226	преподаватель физкультура
3796-N-108260	особый условие труд
141121-N-179837	опасный условие труд
141121-N-683996	опасный для здоровье условие труд
141121-N-683999	опасный производственный условие
141121-N-683998	опасный производственный фактор
141121-N-683997	работа в опасный условие
4724-N-110198	профилактический препарат
4724-N-110197	профилактический средство
1052-N-111127	санитарий
1052-N-111133	санитарный обработка
1052-N-111135	санитарный очистка
1052-N-102422	гигиена
1052-N-685213	санобработка
4032-N-101279	вакцина
4032-N-101282	вакцинный препарат
145220-N-690769	хирургический оборудование
145220-N-690771	оборудование для хирургия
145220-N-690770	операционный оборудование
109296-N-129126	катар
129164-N-124072	медицинский академия
129164-N-178190	медицинский институт
129164-N-124058	медакадемия
129164-N-673791	медвуз
129164-N-124064	мединститут
129164-N-106300	медицинский вуз
129164-N-719428	высший медицинский школа
129164-N-178191	медуниверситать
129164-N-178192	медицинский университет
125067-N-169647	аритмия
125067-N-744292	сердечный аритмия
125067-N-746531	перебой в ритм сердце
125067-N-746533	перебой в работа сердце
125067-N-744293	нарушение сердечный ритм
111547-N-140764	косметолог
126904-N-173576	гидромассаж
131263-N-182528	болезнь передавать половой путь
131263-N-182515	заболевание передаваемый половой путь
3869-N-104675	карантин
3869-N-743355	изоляция больной
3869-N-124156	карантинирований
3869-N-104678	карантинный мероприятие
3869-N-119005	карантить мера
3869-N-117492	карантинный режим
8159-N-102511	гомеопатия
8159-N-723986	гомеопатический лечение
8159-N-196582	гомеотерапия
1067-N-702371	лечебно -профилактический продукт
1067-N-105723	лекарственный продукция
1067-N-120691	лекарственный вещество
1067-N-105729	лекарственный средство
1067-N-118698	химико-фармацевтический продукция
1067-N-736924	фармпрепарать
1067-N-113598	фармацевтический продукт
1067-N-113597	фармацевтический препарат
1067-N-113594	фармацевтический продукция
1067-N-113587	фармакологический средство
1067-N-112748	терапевтический препарат
1067-N-702372	средство для лечение
1067-N-192826	снадобье
1067-N-185130	препарат для лечение
1067-N-119323	препарат
1067-N-106337	медпрепарать
1067-N-106308	медицинский препарат
1067-N-115920	медикаментозный средство
1067-N-106261	медикаменть
1067-N-105871	лечебный препарат
1067-N-105732	лекарственный препарат
1067-N-105858	лечебть -профилактический препарат
1067-N-122225	лечебть -диагностический препарат
1067-N-105733	лекарство
1067-N-702370	лекарственный продукт
7614-N-110316	работа в полевой условие
7614-N-109124	полевой работа
6514-N-105867	лечебный средство
6514-N-106327	медицинский средство
2033-N-110194	профзаболеваний
2033-N-116827	профессиональный патология
2033-N-110207	профпатологие
2033-N-194811	профессиональный болезнь
2033-N-110175	профессиональный заболевание
9908-N-122704	фтизиатр
123976-N-167614	токсиколог
3214-N-112140	столбняк
141541-N-213978	болезнь альцгеймирать
141541-N-213981	синдром альцгеймирать
146772-N-708905	ремиссия болезнь
146772-N-708906	ремиссия
136503-N-179025	история болезнь
136503-N-214583	больничный карта
4325-N-685086	отравление пищевой продукт
4325-N-685085	отравление пища
4325-N-685087	отравление продукт питание
4325-N-745294	пищевой токсикоинфекция
4325-N-108819	пищевой отравление
4325-N-745293	токсикоинфекция
8188-N-104198	имплантация
8642-N-116058	гематология
110995-N-135988	гимнастический упражнение
135455-N-193480	удушье
135455-N-194903	асфиксия
